;matrix_filler_ratio;density;hardener;epoxid;temperature;elasticity_on_stretching;solidity_on_stretching;resin;cover_angle;cover_step;elasticity_boxcox;surface_density_boxcox;cover_strength_boxcox
0;2.58734764319625;1953.27492638743;137.62741961242;22.3445335715259;234.716882964809;80.8032217605356;2587.34298289064;246.613116536634;1;4.0;468.6707761268315;85.63167137712917;145.52689835672658
1;2.04647146357792;2037.63181118987;101.617251334785;23.146392813099;312.307205242628;73.8170666194231;2624.02640716719;178.198555892297;1;5.0;312.79336070820136;84.80500496378151;113.63291848312335
2;1.85647616956086;2018.22033158733;135.401696554643;26.4355145955444;327.51037669861;77.210761575252;2473.18719456744;123.34456143249;1;5.0;360.7463323109235;36.65907460727882;120.8681607510811
3;3.3055354218421;1917.90750636706;105.786929571358;17.8740999097888;328.15457946162;72.3457087941471;3059.03299121234;275.5758795221;1;5.0;223.8929895118784;82.70001690999348;145.52689835672658
4;2.70955409454249;1892.07112380677;96.5632931903446;22.9892905613243;262.956721990283;74.511359223088;2288.96737657892;126.816338870833;1;7.0;287.5148372835555;108.66750491942348;90.11464465074802
5;2.28282531370928;2008.35759183338;149.372832370371;21.6617506765061;330.498640996826;72.2449240783816;2704.44508096151;261.077071612965;1;7.0;189.70494021088138;83.57742313996016;113.63291848312335
6;1.97814017317886;1973.62909661136;149.372127890098;19.750577886982;232.058191344622;75.6657005566096;2448.94307925134;162.493693621344;1;7.0;417.21552508458245;78.45681325937186;120.8681607510811
7;1.77143639306974;1872.49155988411;79.7945478731184;22.2963037219206;340.736898443345;70.9475915609757;2796.78540176497;123.356264267511;1;7.0;347.7272664258009;113.84030311437165;145.52689835672658
8;3.27708698694618;2010.04701192391;67.4989930617371;24.2806090209505;254.949083669843;67.4787066266392;2462.60538586832;207.018581295981;1;9.0;167.06993021570116;31.080432996052824;90.11464465074802
9;2.98436222584574;1912.31543664458;133.549000743282;23.2637965673584;314.996125461987;75.2904522177158;2303.7706561607;200.580249351275;1;9.0;484.97339876280944;66.65806733065716;113.63291848312335
10;2.91614962097909;1879.9698456543;109.239530469489;25.6827594776929;294.048536607078;71.7008556184055;3086.54619576288;192.191162092306;1;9.0;421.35544097680315;70.15205817130239;120.8681607510811
11;3.24761721067416;1813.23459997756;81.3798708371328;23.4224652380694;279.080157491732;69.341132877179;3188.13635771731;252.87056880778;1;9.0;331.675154970834;87.52569216267258;145.52689835672658
12;2.42387567266603;1908.94060108184;58.2624142792189;24.0735492275228;325.138687978497;74.2443541741854;1890.50580698778;222.699487259763;1;10.0;244.50150840872234;75.4423396037655;90.11464465074802
13;5.09899308958125;1977.33904724926;132.343059816683;25.3970009790122;286.55643085455;72.3416397334948;1386.57897293013;271.901393688095;1;10.0;618.004408346401;98.46820759092274;113.63291848312335
14;2.44417698589548;2085.49583722341;110.564839894065;23.4871397611806;270.286765096589;71.4790604659631;2740.22963128366;187.861372739767;1;10.0;395.4349501814484;54.68570916667122;120.8681607510811
15;2.66769692914197;2078.89467612972;132.147403310926;22.6501091996101;357.972896225409;76.4717884703426;2559.64304741812;163.902778015018;1;10.0;607.9599184641327;107.15908068253553;145.52689835672658
16;3.03439948276313;1968.40138797479;61.4212965247638;23.4907229119055;316.414572148037;75.0903717369656;2848.49007846398;311.052397919637;0;7.85616654701846;214.8985979458329;93.5295969998814;131.3772398801064
17;2.66438864884511;1996.15914531562;77.506882539453;18.1261070575147;223.408685433481;69.4897734806242;2220.58744458909;314.776668711928;0;6.6757803392663;242.46380498087012;11.975085441452514;167.40574105713105
18;1.19352958197572;1965.92922694261;102.959068581182;19.5667162363837;225.810222871408;73.4546945165033;2335.54179171276;91.047646334499;0;7.5263983201197;383.92047261448903;114.36087062391812;70.22106736834708
19;2.91433327547696;2049.3734037036;81.3520473688647;16.3915947268609;233.296062693547;69.8146151618113;2262.78436556029;303.075452369361;0;8.32569922025696;184.87797451654922;86.23679283870902;87.92125989567181
20;4.31566578217077;1913.37967697839;143.576937132067;24.2755880964038;274.988794415536;75.9573285670879;1639.91252544902;248.244329856063;0;7.65621087508853;355.8174792128859;52.437679710615505;60.201728292356485
21;2.33842428819444;1963.35156013111;150.015829771817;18.2994213764344;315.904178072587;71.303989767743;3407.71358118161;304.423274095783;0;10.3029447225773;475.1915825373375;94.18907190539957;72.55822781289653
22;1.29816724555935;1984.51137289759;130.942797937247;21.8292399010645;288.95209880887;74.6809132551444;2526.81425574501;228.867719644237;0;8.94689112067868;561.809588758736;38.245051672616825;150.76600250769326
