;elasticity_on_stretching;matrix_filler_ratio;density;hardener;epoxid;temperature;resin;cover_angle;cover_step;elasticity_boxcox;surface_density_boxcox;cover_strength_boxcox
0;70.0;1.85714285714285;2030.0;30.0;22.2678571428571;100.0;220.0;0;4.0;310.7898010518636;43.874100488409695;113.43697880567156
1;70.0;1.85714285714285;2030.0;50.0;23.75;284.615384615384;220.0;0;4.0;310.7898010518636;43.874100488409695;120.82435477710196
2;70.0;1.85714285714285;2030.0;49.9;33.0;284.615384615384;220.0;0;4.0;310.7898010518636;43.874100488409695;146.02647224566445
3;70.0;1.85714285714285;2030.0;129.0;21.25;300.0;220.0;0;5.0;310.7898010518636;43.874100488409695;89.45235859089212
4;70.0;2.77133105802047;2030.0;111.86;22.2678571428571;284.615384615384;220.0;0;5.0;315.86459818474924;43.874100488409695;113.43697880567156
5;70.0;2.7679180887372;2000.0;111.86;22.2678571428571;284.615384615384;220.0;0;5.0;314.0873342531985;43.874100488409695;120.82435477710196
6;70.0;2.56962025316455;1910.0;111.86;22.2678571428571;284.615384615384;220.0;0;5.0;334.9444631825966;43.874100488409695;146.02647224566445
7;75.0;2.56147540983606;1900.0;111.86;22.2678571428571;284.615384615384;120.0;0;7.0;236.43173328145122;64.33002822364172;89.45235859089212
8;75.0;3.55701754385964;1930.0;129.0;21.25;300.0;120.0;0;7.0;363.542678603325;64.33002822364172;113.43697880567156
9;78.0;3.53233830845771;2100.0;129.0;21.25;300.0;300.0;0;7.0;540.6138709487076;120.01543701111336;120.82435477710196
10;78.0;2.91967783631954;2160.0;129.0;21.25;300.0;300.0;0;7.0;378.71641378749524;120.01543701111336;146.02647224566445
11;78.0;2.87735849056603;1990.0;129.0;21.25;300.0;300.0;0;9.0;606.4900326618949;120.01543701111336;89.45235859089212
12;73.3333333333333;1.59817351598173;1950.0;129.0;21.25;300.0;220.0;0;9.0;341.9598769688666;73.71871425441228;113.43697880567156
13;73.3333333333333;2.91967783631954;1980.0;129.0;21.25;300.0;220.0;0;9.0;248.74042542556916;73.71871425441228;120.82435477710196
14;73.3333333333333;4.02912621359223;1910.0;129.0;21.25;300.0;220.0;0;9.0;332.48267808389795;73.71871425441228;146.02647224566445
15;70.0;2.93478260869565;2030.0;129.0;21.25;300.0;220.0;0;10.0;145.48098992139907;43.874100488409695;89.45235859089212
16;70.0;3.55701754385964;1880.0;129.0;21.25;300.0;220.0;0;10.0;149.97587856226764;43.874100488409695;113.43697880567156
17;75.0;4.19354838709677;1950.0;129.0;21.25;300.0;120.0;0;10.0;225.51683547075564;64.33002822364172;120.82435477710196
18;75.0;4.89795918367346;1890.0;129.0;21.25;300.0;120.0;0;10.0;238.30414429183372;64.33002822364172;146.02647224566445
19;78.0;3.53233830845771;1980.0;111.86;22.2678571428571;284.615384615384;300.0;0;0.0;462.9733501329043;120.01543701111336;-0.8185070577182526
20;78.0;2.87735849056603;2000.0;111.86;22.2678571428571;284.615384615384;300.0;1;4.0;104.58498958501514;120.01543701111336;89.45235859089212
21;73.3333333333333;1.59817351598173;1920.0;111.86;22.2678571428571;284.615384615384;220.0;1;4.0;206.4634657397468;73.71871425441228;113.43697880567156
22;73.3333333333333;4.02912621359223;1880.0;111.86;22.2678571428571;284.615384615384;220.0;1;4.0;268.6451333792063;73.71871425441228;120.82435477710196
23;80.8032217605356;2.58734764319625;1953.27492638743;137.62741961242;22.3445335715259;234.716882964809;246.613116536634;1;4.0;447.5631383984547;82.06792829713952;146.02647224566445
24;76.1780750811993;2.49991792788794;1942.59577668332;146.252207766867;23.0817574798037;351.231873967312;226.222760364565;1;5.0;367.8719803932046;108.74328595279984;89.45235859089212
25;73.8170666194231;2.04647146357792;2037.63181118987;101.617251334785;23.146392813099;312.307205242628;178.198555892297;1;5.0;299.6471962335782;81.2840188413432;113.43697880567156
26;77.210761575252;1.85647616956086;2018.22033158733;135.401696554643;26.4355145955444;327.51037669861;123.34456143249;1;5.0;345.21102391785115;35.381131543122095;120.82435477710196
27;72.3457087941471;3.3055354218421;1917.90750636706;105.786929571358;17.8740999097888;328.15457946162;275.5758795221;1;5.0;214.99435281977006;79.2874116395438;146.02647224566445
28;74.511359223088;2.70955409454249;1892.07112380677;96.5632931903446;22.9892905613243;262.956721990283;126.816338870833;1;7.0;275.60256254893307;103.87266261754151;89.45235859089212
29;72.2449240783816;2.28282531370928;2008.35759183338;149.372832370371;21.6617506765061;330.498640996826;261.077071612965;1;7.0;182.3612105121755;80.11972923966457;113.43697880567156
30;75.6657005566096;1.97814017317886;1973.62909661136;149.372127890098;19.750577886982;232.058191344622;162.493693621344;1;7.0;398.795283776173;75.26045507822668;120.82435477710196
31;70.9475915609757;1.77143639306974;1872.49155988411;79.7945478731184;22.2963037219206;340.736898443345;123.356264267511;1;7.0;332.84648874803844;108.75956592706454;146.02647224566445
32;67.4787066266392;3.27708698694618;2010.04701192391;67.4989930617371;24.2806090209505;254.949083669843;207.018581295981;1;9.0;160.7255192606021;30.01567427409579;89.45235859089212
33;75.2904522177158;2.98436222584574;1912.31543664458;133.549000743282;23.2637965673584;314.996125461987;200.580249351275;1;9.0;463.00375621306955;64.04592972961959;113.43697880567156
34;71.7008556184055;2.91614962097909;1879.9698456543;109.239530469489;25.6827594776929;294.048536607078;192.191162092306;1;9.0;402.72094544393883;67.3697030803645;120.82435477710196
35;69.341132877179;3.24761721067416;1813.23459997756;81.3798708371328;23.4224652380694;279.080157491732;252.87056880778;1;9.0;317.5954712494538;83.86358262604858;146.02647224566445
36;74.2443541741854;2.42387567266603;1908.94060108184;58.2624142792189;24.0735492275228;325.138687978497;222.699487259763;1;10.0;234.64241055810166;72.39772058903516;89.45235859089212
37;72.3416397334948;5.09899308958125;1977.33904724926;132.343059816683;25.3970009790122;286.55643085455;271.901393688095;1;10.0;588.8352485265145;94.22739135107032;113.43697880567156
38;71.4790604659631;2.44417698589548;2085.49583722341;110.564839894065;23.4871397611806;270.286765096589;187.861372739767;1;10.0;378.13591967259305;52.63642468582775;120.82435477710196
39;76.4717884703426;2.66769692914197;2078.89467612972;132.147403310926;22.6501091996101;357.972896225409;163.902778015018;1;10.0;579.3437794169079;102.44700345784909;146.02647224566445
40;75.0903717369656;3.03439948276313;1968.40138797479;61.4212965247638;23.4907229119055;316.414572148037;311.052397919637;0;7.85616654701846;206.4139065887624;89.55209162084398;131.56058537530882
41;66.4207943619588;2.46520497109548;1936.09913728867;71.2940582201344;24.5233806974229;271.975678290965;227.02255734554;0;7.40154256701157;420.74780459228606;31.925951762531405;29.52406229819188
42;69.4897734806242;2.66438864884511;1996.15914531562;77.506882539453;18.1261070575147;223.408685433481;314.776668711928;0;6.6757803392663;232.70038840591454;11.46345221405839;168.41468288413148
43;73.4546945165033;1.19352958197572;1965.92922694261;102.959068581182;19.5667162363837;225.810222871408;91.047646334499;0;7.5263983201197;367.2099692211188;109.25118874849194;69.20688011002518
44;69.8146151618113;2.91433327547696;2049.3734037036;81.3520473688647;16.3915947268609;233.296062693547;303.075452369361;0;8.32569922025696;177.74951372195937;82.64168333840732;87.21801121903384
45;75.9573285670879;4.31566578217077;1913.37967697839;143.576937132067;24.2755880964038;274.988794415536;248.244329856063;0;7.65621087508853;340.5304619178138;50.490133058896575;59.03009178516453
46;71.303989767743;2.33842428819444;1963.35156013111;150.015829771817;18.2994213764344;315.904178072587;304.423274095783;0;10.3029447225773;453.7397391599027;90.17660261762336;71.58288705463067
47;74.6809132551444;1.29816724555935;1984.51137289759;130.942797937247;21.8292399010645;288.95209880887;228.867719644237;0;8.94689112067868;535.7154923906364;36.903897579704136;151.38541732639342
48;76.340207250164;2.13444614423682;1986.34905262266;95.0890218408534;19.3649257190022;205.499760973999;289.957141572361;0;3.74662497721847;335.75042936635316;42.000706524270264;115.8846179195656
49;70.3554640267673;4.14796643221644;1991.78978866553;116.856462171446;21.5732649493152;320.740172497546;189.88330728957;0;9.09436367744417;485.12332122051635;99.79460731338179;84.32199477158379
50;73.0164888868577;3.05783014692351;1987.25985886021;112.719826048096;19.3905110709324;336.245383730252;206.693378878874;0;6.30377284560279;186.06050807599948;61.336932420527475;151.55932750067652
51;72.7694732165961;4.18212858438216;1940.73923718186;111.969772877024;18.8002833612162;304.190488336488;226.422645257059;0;7.2579618310852;164.1152831072706;46.530936032887176;97.06235192935154
52;64.6964003954224;1.84692315458134;1956.0872973781;115.70972016857;21.0433175526934;236.883671599211;188.274123032686;0;6.54799294442016;268.90966495381355;65.77625913623615;156.9077693484627
53;69.3828660743641;1.30102504367318;2057.93919253743;136.323974578022;23.3292718838398;292.625715602231;219.321971333448;0;6.1461253214983;381.07160259615347;79.01348064187233;146.93765478104694
54;69.8021906297403;3.63193481154382;2065.51787986419;120.69587752402;24.431893660076;308.978564926445;266.13830124966;0;10.0507182797683;243.39129562931447;47.08406629487612;156.74629840909407
55;75.9294262403174;3.95035176348501;2078.08518958498;101.985372572233;23.5215700672067;263.936794164664;321.58318393106;0;9.91252624375488;252.62284883009093;42.63950216805516;148.96518479456202
56;74.9551385125935;4.61698956841306;1907.24088138391;107.633965680302;26.2609927739994;294.750758090161;249.425570165226;0;5.64691439859512;351.70647652157277;73.26727887945444;161.41894968246092
57;71.5960274616026;4.25637632736662;1985.43627389172;86.2580477765799;21.3510430299661;240.093794136484;279.646443441237;0;6.25505768443793;216.2067818618336;19.43426762956934;57.52609068965166
58;73.8029667670687;4.46735038107235;2045.91998424776;40.3048056934109;22.2303471856234;239.576875689797;268.64454753915;0;7.31043751586699;299.4653698057746;90.32917215339373;130.45334054162683
59;71.1835610478094;3.11817622250867;1892.75780016532;162.465446710082;23.9675428207614;260.189897198972;187.890164290387;0;5.25689909291407;390.76777121461225;38.79430835599812;138.84097586821278
60;71.1875536033647;2.67656443820564;2053.4297826253;106.195439435444;20.3113391841181;300.754584110511;304.428870764341;0;2.30265513315926;127.80310997481156;68.295757142295;135.35657104390808
61;73.5543672416027;3.17576486892054;1970.51813882891;151.416684185638;22.2063665946037;313.627206741365;205.202797305012;0;6.79367738419888;305.73762043301485;67.69638780136026;90.1448649556024
62;74.2967008623467;2.09774644082955;2019.06596565285;135.949276438419;21.4973031317718;362.877362326566;186.555661741722;0;6.2811496770177;429.10852715361244;13.069831030125385;151.9227707212821
63;69.0762520457978;4.79471062727875;1917.78360071006;91.6603001689428;22.6763903716021;317.473648157517;321.145901909665;0;4.98508334944557;320.0470904146121;68.81169432425844;69.49906581534711
64;70.1028944970212;2.5619173843691;1956.58718841296;84.2889186459112;26.3858597471124;264.963876475242;194.853056966549;0;6.1913302964011;189.09716527369912;92.6547558662885;55.2054142167609
65;73.7811776825022;1.70519378852586;1993.62408679527;115.482321184986;24.461133568691;302.348496497711;283.289007232791;0;7.78271128777422;158.84978974148174;38.03110641150875;107.67058884537889
66;77.0465882211044;4.41416119685704;2014.62331805313;104.097858932163;20.7786343232078;227.51331059067;281.270927847583;0;13.1990069942431;263.1667967615692;91.08259990818655;136.76161182901393
67;73.5938171327313;3.45282114986932;1868.34874519129;87.3869345312855;23.3224226502699;291.339068668643;228.91172416346;0;5.08285562607062;251.8938799830566;59.77293063029527;97.5053660899055
68;71.2150322767018;2.68194050892477;1843.18256234416;106.823807795205;19.3327000435086;320.363018577296;92.4478651000093;0;10.6228863710581;463.96406330460064;22.309958299267503;90.74377871746299
69;69.5260148149445;3.12002168259489;2042.28028337428;88.4130126456654;23.0854223167781;280.643182017825;138.224720766734;0;4.79586231229187;260.85304919839115;58.09685578858501;67.48070343168797
70;69.2046420071986;3.72515191986744;2009.39872044359;148.316385759674;16.8696696350116;289.23616959197;172.549268899625;0;5.18293533449742;388.92068946598334;66.36732351752273;170.7595686806907
71;72.4865459842513;2.00123378085961;2008.31072030206;111.25927526507;22.7850763746836;309.579804260058;141.59841601308;0;7.42170414975365;32.90831069120476;110.52257145139004;116.47656105302676
72;75.3210982301261;2.53886870194548;1929.67753077483;161.557740686131;22.7251942440169;303.53008959714;131.922189046358;0;4.5459247020502;449.9575242529242;111.09648959356232;129.10980520268188
73;69.6004028193487;4.18091114843855;2068.26739082148;117.857237307933;18.0395915889216;347.608414194633;219.99535125577;0;5.08135736878662;348.2181551835106;66.97674878107527;126.8489468278003
74;67.6480612318363;3.12666059634732;1985.37632674925;122.027950485535;22.6877653304713;247.090686428188;198.685795025871;0;8.48906022674753;414.9551868005861;42.835610233425456;38.69732271317148
